Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,4.7u,
C10,0603,1,1u,
C11,0603,1,1p,
"C12, C14, C16",0603,3,100n,
C13,0603,1,10u,
C15,0603,1,33n,
C17,0603,1,12p,
C18,0805,1,47u,
C19,CP_Elec_8x10,1,220u,C341198
C20,CP_Elec_10x10,1,270u,C251008
"C5, C6, C7",0603,3,47u,
"C8, C9",0603,2,220n,
"D1, D2",LED_D5.0mm,2,LED,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_4,
J2,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30_Power,
J3,PinHeader_1x05_P2.54mm_Vertical,1,TOF_Right,
J4,PinHeader_1x05_P2.54mm_Vertical,1,TOF_Left,
L1,L_Chilisin_BMRF00101040,1,6.8u,
L2,L_Chilisin_BMRB00060618,1,15u,
M1,PinHeader_1x03_P2.54mm_Horizontal,1,Throttle,
M2,PinHeader_1x03_P2.54mm_Horizontal,1,Steering,
M3,PinHeader_1x03_P2.54mm_Horizontal,1,Extra,
R1,0603,1,32.4k,
"R2, R5",0603,2,100k,
R3,0603,1,1k,
R4,0603,1,24.3k,
R6,0603,1,90.9k,
R7,0603,1,10k,
SW1,Switch,1,POWER,
SW2,Switch,1,Program,
U1,IC_LM61460AFSQRJRRQ1,1,LM61460AFSQRJRRQ1,C2871455
U2,SOT-583-8,1,TPS62932,
